id,name,match_key,category,flavours,variants,current_image,status
1,iPhone 17 Pro Max,iphone 17 pro max,Smartphones,,Good condition | 256GB | Unlocked,catalogue-images/iPhone 17 Pro Max 256GB.jpg,IN_CATALOGUE
2,iPhone 17,iphone 17,Smartphones,,Good condition | Unlocked,catalogue-images/iphone 17.webp,IN_CATALOGUE
3,iPhone 16 Pro Max,iphone 16 pro max,Smartphones,,Good condition | Unlocked,catalogue-images/iphone_16_promax.png,IN_CATALOGUE
4,iPhone 16,iphone 16,Smartphones,,Good condition | Unlocked,catalogue-images/iPhone 16.jpg,IN_CATALOGUE
5,iPhone 15 Pro Max,iphone 15 pro max,Smartphones,,Good condition | Unlocked,catalogue-images/iphone_15_promax.png,IN_CATALOGUE
6,iPhone 15 Plus,iphone 15 plus,Smartphones,,Good condition | Unlocked,catalogue-images/Iphone 15 plus.jpg,IN_CATALOGUE
7,iPhone 15,iphone 15,Smartphones,,Good condition | 128GB | Unlocked,catalogue-images/iPhone 15.jpg,IN_CATALOGUE
8,iPhone 14 Pro Max,iphone 14 pro max,Smartphones,,Good condition | 128GB | Unlocked,catalogue-images/iPhone 14 Pro Max 128GB.webp,IN_CATALOGUE
9,iPhone 14 Pro,iphone 14 pro,Smartphones,,Good condition | Unlocked,catalogue-images/Iphone 14 pro.jpg,IN_CATALOGUE
10,iPhone 14,iphone 14,Smartphones,,Good condition | Unlocked,catalogue-images/iPhone 14 midnight transparent background.jpg,IN_CATALOGUE
11,iPhone 13 Pro Max,iphone 13 pro max,Smartphones,,Good condition | 256GB | Unlocked,catalogue-images/iPhone 13 Pro Max.jpg,IN_CATALOGUE
12,iPhone 13,iphone 13,Smartphones,,Good condition | 128GB | Unlocked,catalogue-images/iPhone 13 128GB.jpg,IN_CATALOGUE
13,iPhone 12 Pro Max,iphone 12 pro max,Smartphones,,Good condition | 128GB | Unlocked,catalogue-images/iPhone 12 Pro Max 128GB.jpg,IN_CATALOGUE
14,iPhone 12 Pro,iphone 12 pro,Smartphones,,Good condition | 128GB | Unlocked,catalogue-images/iPhone 12 Pro.jpg,IN_CATALOGUE
15,iPhone 12,iphone 12,Smartphones,,Good condition | 128GB | Unlocked,catalogue-images/iPhone 12 base model.jpg,IN_CATALOGUE
16,iPhone 12 Mini,iphone 12 mini,Smartphones,,Good condition | 128GB | Unlocked,catalogue-images/iPhone 12  12 Mini.jpg,IN_CATALOGUE
17,iPhone 11 Pro,iphone 11 pro,Smartphones,,Good condition | Unlocked,catalogue-images/iPhone 11 Pro.jpg,IN_CATALOGUE
18,iPhone 11,iphone 11,Smartphones,,Good condition | Unlocked,catalogue-images/iphone_11.png,IN_CATALOGUE
